2024-10-17 at 01:25 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 741185494}
2024-10-17 at 01:25 | ERROR | Ошибка при поиске записи по фильтрам {'id': 741185494}: Multiple rows were found when one or none was required
2024-10-17 at 01:26 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:26 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:26 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Добавление записи NonStudent с параметрами: {'id': 741185494, 'passport': '4408 123333'}
2024-10-17 at 01:26 | INFO | Запись NonStudent успешно добавлена.
2024-10-17 at 01:26 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:26 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:26 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 741185494}
2024-10-17 at 01:26 | INFO | Запись найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:31 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:31 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:31 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:31 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:31 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 741185494}
2024-10-17 at 01:31 | INFO | Запись найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:32 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:32 | INFO | Запись найдена по фильтрам: {'tg_id': 741185494}
2024-10-17 at 01:32 | INFO | Поиск одной записи Student по фильтрам: {'id': 741185494}
2024-10-17 at 01:32 | INFO | Запись не найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:32 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 741185494}
2024-10-17 at 01:32 | INFO | Запись найдена по фильтрам: {'id': 741185494}
2024-10-17 at 01:32 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 74118549}
2024-10-17 at 01:32 | INFO | Запись не найдена по фильтрам: {'tg_id': 74118549}
2024-10-17 at 01:33 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:33 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 01:33 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:33 | INFO | Запись не найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:33 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 805550691}
2024-10-17 at 01:33 | INFO | Запись не найдена по фильтрам: {'id': 805550691}
2024-10-17 at 01:33 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 01:33 | INFO | Запись Student успешно добавлена.
2024-10-17 at 01:33 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 01:33 | INFO | Запись найдена по фильтрам: {'id': 805550691}
2024-10-17 at 14:05 | INFO | Поиск User с ID: 805550691
2024-10-17 at 14:05 | ERROR | Ошибка при поиске записи с ID 805550691: Entity namespace for "users" has no property "id"
2024-10-17 at 14:06 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 14:06 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
